City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptin,Country,Date
Bubaque,11.28,-15.83,80.42,56,5,6.6,clear sky,GW,2020-12-14 03:49:30
Cape Town,-33.93,18.42,61,93,0,5.82,clear sky,ZA,2020-12-14 03:49:28
Cherskiy,68.75,161.3,-19.41,87,100,5.77,overcast clouds,RU,2020-12-14 03:49:30
Rikitea,-23.12,-134.97,76.1,68,42,4.14,scattered clouds,PF,2020-12-14 03:49:31
Kavieng,-2.57,150.8,85.96,69,100,10.45,overcast clouds,PG,2020-12-14 03:49:31
Severo-Kurilsk,50.68,156.12,34.52,88,100,47.49,overcast clouds,RU,2020-12-14 03:53:19
Weyburn,49.67,-103.85,-11.2,83,0,4.7,clear sky,CA,2020-12-14 03:53:34
Souillac,-20.52,57.52,75.2,94,75,12.75,light intensity shower rain,MU,2020-12-14 03:57:28
Kapaa,22.08,-159.32,80.6,69,90,9.17,overcast clouds,US,2020-12-14 03:57:28
Saldanha,-33.01,17.94,51.8,81,47,1.12,scattered clouds,ZA,2020-12-14 03:57:29
Katsuura,35.13,140.3,59,51,75,24.16,broken clouds,JP,2020-12-14 03:57:29
Gimli,50.63,-96.99,1.4,77,40,11.41,scattered clouds,CA,2020-12-14 03:57:29
Sinegorsk,47.17,142.5,14,85,75,6.71,light shower snow,RU,2020-12-14 03:57:29
Esso,55.93,158.7,13.68,88,100,4.14,overcast clouds,RU,2020-12-14 03:57:29
Ushuaia,-54.8,-68.3,42.8,75,40,21.92,scattered clouds,AR,2020-12-14 03:49:33
Qasigiannguit,68.82,-51.19,24.8,79,100,14.99,light snow,GL,2020-12-14 03:49:33
Labuhan,-6.88,112.21,80.06,80,100,6.96,overcast clouds,ID,2020-12-14 03:49:34
Aras,42.56,-2.36,46,100,0,3.65,clear sky,ES,2020-12-14 03:49:34
Punta Arenas,-53.15,-70.92,42.8,75,53,12.75,broken clouds,CL,2020-12-14 03:49:34
Lufkin,31.34,-94.73,44.6,93,90,16.11,overcast clouds,US,2020-12-14 03:49:34
Vardo,70.37,31.11,31.68,91,100,8.9,overcast clouds,NO,2020-12-14 03:49:35
San Cristobal,7.77,-72.22,61.63,77,79,1.97,broken clouds,VE,2020-12-14 03:49:35
